LG10_#122_104.319010566458cM_17811,LG10_#122_66.4001363142143cM_23978
LG10_#123_104.319010666458cM_31941,LG10_#126_67.195049620216cM_44057
LG10_#118_102.104704013537cM_2393,*
LG10_#119_102.9018646214cM_537,*
LG10_#124_104.319010766458cM_15916,LG10_#133_67.4366170863365cM_24668
LG10_#127_105.020775876807cM_6182,LG10_#160_91.8115717012302cM_2176
LG10_#126_105.020775776807cM_38388,LG10_#127_67.195049720216cM_12524
LG10_#129_105.723107749928cM_13935,LG10_#273_98.1092892459797cM_34972
LG10_#130_105.723107849928cM_30789,LG10_#159_91.5512237237386cM_35467
LG10_#128_105.020775976807cM_15010,*
LG10_#125_104.319010866458cM_39543,*
LG10_#132_106.425543135972cM_38561,*
LG10_#131_106.425543035972cM_6141,*
LG10_#133_107.129276955886cM_6474,*
LG10_#134_107.825361562408cM_8691,*
LG10_#136_108.535121965039cM_6605,LG10_#197_94.1147420121527cM_35247
LG10_#137_109.236879244095cM_14694,*
LG10_#135_107.825361662408cM_5258,*
LG10_#138_109.236879344095cM_34333,LG10_#217_94.6354761074757cM_47888
LG10_#139_109.236879444095cM_789,LG10_#146_89.5688187709495cM_7923
LG10_#142_109.236879744095cM_36498,LG10_#272_98.1092891459797cM_5904
LG10_#141_109.236879644095cM_42754,LG10_#275_98.6254012571283cM_19801
LG10_#140_109.236879544095cM_7468,LG10_#265_97.6338682101987cM_27492
LG10_#143_109.236879844095cM_35080,LG10_#128_67.195049820216cM_51076
LG10_#144_109.236879944095cM_37339,LG10_#267_97.8715867015834cM_46118
LG10_#146_110.653096170962cM_13695,*
LG10_#148_112.054594630747cM_44331,*
LG10_#147_111.360000362316cM_2794,*
LG10_#145_110.653096070962cM_33823,*
LG10_#149_112.054594730747cM_45451,*
LG10_#152_112.748840681754cM_30641,*
LG10_#153_112.748840781754cM_35320,LG10_#192_93.8547896633167cM_24131
LG10_#150_112.054594830747cM_41909,*
LG10_#151_112.748840581754cM_26838,*
LG10_#154_112.748840881754cM_16923,*
LG10_#157_113.478762036478cM_1737,*
LG10_#155_112.748840981754cM_12999,*
LG10_#159_113.478762236478cM_28202,LG10_#304_101.457720171264cM_19056
LG10_#156_113.478761936478cM_569,*
LG10_#158_113.478762136478cM_19240,*
LG10_#160_113.478762336478cM_36726,LG10_#213_94.6354757074757cM_14005
LG10_#162_114.929138824396cM_9868,*
LG10_#161_113.478762436478cM_13943,*
LG10_#163_114.929138924396cM_14077,*
LG10_#164_114.929139024396cM_11794,*
LG10_#167_116.398396338554cM_1758,*
LG10_#168_116.398396438554cM_13270,LG10_#250_96.1433404456743cM_31034
LG10_#165_116.398396138554cM_31096,*
LG10_#166_116.398396238554cM_34883,*
LG10_#171_117.104059891949cM_41043,LG10_#208_94.3750283713895cM_44797
LG10_#169_117.104059691949cM_10257,*
LG10_#170_117.104059791949cM_16492,*
